candidate_id,rank,score,reasoning
CAND_0077337,15,0.565074,"Staff Machine Learning Engineer at Paytm with 7.0 yrs; hands-on Sentence Transformers and Qdrant; current role involves ranking work. Open to work, 95% recruiter response rate. Minor concern: based in Kochi, outside preferred Pune/Noida."
CAND_0008425,16,0.557509,"Senior NLP Engineer at Ola with 7.8 yrs; hands-on Sentence Transformers and Qdrant; current role involves retrieval work. Open to work, 66% recruiter response rate. Minor concern: notice period is 90 days (JD prefers under 30)."
CAND_0030953,17,0.554331,7.8 yrs as Search Engineer at Nykaa — current role involves ranking work; hands-on Weaviate and Qdrant. 63% recruiter response rate.
CAND_0005260,18,0.544353,"Strong JD match: Senior NLP Engineer at Netflix, 5.2 yrs, hands-on Semantic Search and NLP. Current role involves ranking work. 86% recruiter response rate."
CAND_0086022,19,0.512324,"Senior Applied Scientist at Sarvam AI (5.3 yrs); current role involves retrieval work; open to work, strong GitHub activity (75/100)."
CAND_0022023,20,0.505507,"Strong JD match: AI Research Engineer at Saarthi.ai, 4.6 yrs, hands-on Semantic Search and Machine Learning. Open to work, based in Pune. Minor concern: 4.6 yrs experience is below the 5-9 band."
CAND_0010685,21,0.487580,"6.7 yrs as NLP Engineer at Rephrase.ai — current role involves ranking work; hands-on Information Retrieval and RAG. Open to work, 83% recruiter response rate."
CAND_0079284,22,0.480573,"Machine Learning Engineer at Google (4.9 yrs); current role involves ranking work; 79% recruiter response rate, 30-day notice. Minor concern: 4.9 yrs experience is below the 5-9 band."
CAND_0000031,23,0.476723,"6.0 yrs as Recommendation Systems Engineer at Swiggy — current role involves ranking work; hands-on Sentence Transformers and Pinecone. Open to work, 91% recruiter response rate."
CAND_0018888,24,0.474205,"Strong JD match: AI Research Engineer at Razorpay, 6.5 yrs, hands-on Information Retrieval and FAISS. 30-day notice, based in Noida."
CAND_0064904,25,0.462595,"AI Engineer at LinkedIn with 4.9 yrs; hands-on Embeddings and Elasticsearch; built ranking systems at Freshworks. Open to work, 78% recruiter response rate. Minor concern: notice period is 90 days (JD prefers under 30)."
CAND_0076831,26,0.456593,"Search Engineer at Krutrim, 4.0 yrs; hands-on Milvus and NLP; built ranking systems at Zomato. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0004402,27,0.455055,"6.0 yrs of experience, currently AI Research Engineer at Yellow.ai; current role involves ranking work; hands-on Learning to Rank and PyTorch. Open to work, 83% recruiter response rate."
CAND_0092255,28,0.454725,"ML Engineer at InMobi, 5.2 yrs; hands-on Weaviate and Vector Search. Open to work, strong GitHub activity (78/100)."
CAND_0066999,29,0.452072,"Recommendation Systems Engineer at Microsoft, 5.9 yrs; hands-on Information Retrieval and FAISS; current role involves ranking work. Open to work, 63% recruiter response rate."
CAND_0019288,30,0.449773,"5.7 yrs of experience, currently AI Research Engineer at Paytm; hands-on OpenSearch and NLP. Open to work, 30-day notice."
CAND_0040178,31,0.444615,"5.0 yrs of experience, currently ML Engineer at Meesho; hands-on Weaviate and Vector Search. Open to work, based in Pune."
CAND_0087630,32,0.441865,"7.2 yrs of experience, currently AI Engineer at Vedantu; current role involves ranking work; hands-on Sentence Transformers and OpenSearch. 30-day notice."
CAND_0061257,33,0.441377,"Staff Machine Learning Engineer at LinkedIn, 8.0 yrs; hands-on Information Retrieval Systems and Python; current role involves ranking work. Open to work, 87% recruiter response rate."
CAND_0026532,34,0.437856,"4.8 yrs of experience, currently Recommendation Systems Engineer at Zomato; current role involves retrieval work; hands-on Milvus and Semantic Search. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0011327,35,0.419538,"6.3 yrs of experience, currently AI Research Engineer at Krutrim; built ranking systems at Razorpay; hands-on Sentence Transformers and Semantic Search. Open to work, 79% recruiter response rate."
CAND_0069905,36,0.412169,"Applied ML Engineer at Sarvam AI, 6.6 yrs; hands-on Weaviate and Sentence Transformers; current role involves retrieval work. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0087364,37,0.410629,"4.9 yrs of experience, currently Recommendation Systems Engineer at Glance; built ranking systems at Rephrase.ai; hands-on Pinecone and Milvus. Concern: 4.9 yrs experience is below the 5-9 band."
CAND_0058575,38,0.402975,"5.8 yrs of experience, currently AI Engineer at Krutrim; current role involves retrieval work; hands-on Sentence Transformers and Pinecone. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0006567,39,0.396390,"7.9 yrs of experience, currently Senior AI Engineer at Meta; built ranking systems at Razorpay; hands-on BM25 and Recommendation Systems. Open to work, 79% recruiter response rate."
CAND_0057563,40,0.394598,"6.8 yrs of experience, currently NLP Engineer at Locobuzz; current role involves ranking work; hands-on RAG and OpenSearch. Concern: based in Indore, outside preferred Pune/Noida."
CAND_0071974,41,0.392475,"7.8 yrs of experience, currently Senior AI Engineer at Netflix; current role involves retrieval work; hands-on Weaviate and Sentence Transformers. Concern: based in Vizag, outside preferred Pune/Noida."
CAND_0003977,42,0.390534,"4.6 yrs of experience, currently Recommendation Systems Engineer at Google; current role involves retrieval work; hands-on Learning to Rank and Semantic Search. Concern: 4.6 yrs experience is below the 5-9 band."
CAND_0075249,43,0.384776,"Applied ML Engineer at Zomato, 6.2 yrs; hands-on Sentence Transformers and Pinecone; current role involves ranking work. Concern: based in Ahmedabad, outside preferred Pune/Noida."
CAND_0042029,44,0.378326,"Senior Data Scientist at Flipkart, 6.5 yrs; hands-on RAG and OpenSearch; current role involves ranking work. 67% recruiter response rate, strong GitHub activity (79/100)."
CAND_0047907,45,0.374383,"AI Research Engineer at Vedantu, 6.6 yrs; hands-on Hugging Face Transformers and Fine-tuning LLMs. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0090155,46,0.366502,"5.8 yrs of experience, currently ML Engineer at Swiggy; hands-on Pinecone and Qdrant. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0043228,47,0.364264,"Applied ML Engineer at Zoho, 6.8 yrs; hands-on Weaviate and Sentence Transformers; current role involves ranking work. 30-day notice."
CAND_0040200,48,0.362027,"5.5 yrs of experience, currently AI Research Engineer at PharmEasy; hands-on Weaviate and Milvus. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0065514,49,0.359849,"ML Engineer at Genpact AI, 6.6 yrs; hands-on Pinecone and Semantic Search. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0060054,50,0.358099,"AI Engineer at Mad Street Den, 6.4 yrs; hands-on Semantic Search and Recommendation Systems; current role involves retrieval work. Concern: based in Jaipur, outside preferred Pune/Noida."
CAND_0054546,51,0.342029,"4.9 yrs of experience, currently AI Research Engineer at Razorpay; hands-on Qdrant and BM25. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0005538,52,0.341236,"Senior AI Engineer at Adobe, 5.9 yrs; hands-on Natural Language Processing and PyTorch; current role involves ranking work. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0081852,53,0.337948,"5.9 yrs of experience, currently Senior Data Scientist at Mad Street Den; current role involves embedding work; hands-on Vector Search and Milvus. Open to work, strong GitHub activity (88/100)."
CAND_0012888,54,0.333938,"Junior ML Engineer at Genpact AI, 6.4 yrs; hands-on Semantic Search and scikit-learn; built ranking systems at Niramai. Open to work, 30-day notice."
CAND_0068932,55,0.333921,"5.2 yrs of experience, currently ML Engineer at Krutrim; current role involves ranking work; hands-on RAG and OpenSearch. Open to work, 82% recruiter response rate."
CAND_0088049,56,0.333053,"Junior ML Engineer at Freshworks, 5.9 yrs; hands-on OpenSearch and Embeddings; built ranking systems at Haptik. 78% recruiter response rate."
CAND_0031593,57,0.332134,"Search Engineer at Genpact AI, 7.8 yrs; hands-on BM25 and Embeddings; current role involves ranking work. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0062413,58,0.329551,"6.6 yrs of experience, currently AI Research Engineer at upGrad; hands-on Learning to Rank and BM25. Open to work, 71% recruiter response rate."
CAND_0033987,59,0.323600,"6.8 yrs of experience, currently ML Engineer at Wysa; built ranking systems at Rephrase.ai; hands-on Learning to Rank and Recommendation Systems. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0041610,60,0.321799,"6.7 yrs of experience, currently Recommendation Systems Engineer at Zoho; current role involves ranking work; hands-on Learning to Rank and BM25. Concern: based in Indore, outside preferred Pune/Noida."
CAND_0043637,61,0.316251,"Junior ML Engineer at Rephrase.ai, 5.5 yrs; hands-on Milvus and Learning to Rank. Open to work, 92% recruiter response rate."
CAND_0067609,62,0.315338,"4.5 yrs of experience, currently Junior ML Engineer at Wysa; hands-on LoRA and Python. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0033861,63,0.312202,"Senior NLP Engineer at Mad Street Den, 8.0 yrs; hands-on Weaviate and Vector Search; current role involves ranking work. Concern: recruiter response rate is low (16%)."
CAND_0048558,64,0.308105,"6.7 yrs of experience, currently Data Scientist at Rephrase.ai; hands-on Qdrant and OpenSearch. Open to work, 80% recruiter response rate."
CAND_0009024,65,0.307197,"Search Engineer at Google, 5.2 yrs; hands-on Recommendation Systems and OpenSearch; current role involves ranking work. Open to work, 30-day notice."
CAND_0089470,66,0.304918,"6.5 yrs of experience, currently AI Research Engineer at Zomato; hands-on Weaviate and Deep Learning. 77% recruiter response rate, based in Pune."
CAND_0046459,67,0.303927,"4.5 yrs of experience, currently AI Research Engineer at upGrad; hands-on Qdrant and BM25. Concern: 4.5 yrs experience is below the 5-9 band."
CAND_0073620,68,0.302890,"4.4 yrs of experience, currently AI Research Engineer at TCS; built ranking systems at Wysa; hands-on FAISS and Semantic Search. Concern: notice period is 90 days (JD prefers under 30)."
CAND_0008295,69,0.302265,"6.5 yrs of experience, currently AI Research Engineer at Razorpay; hands-on BM25 and QLoRA. Open to work, 89% recruiter response rate."
CAND_0008049,70,0.301290,"ML Engineer at Niramai, 6.3 yrs; hands-on Sentence Transformers and RAG. Based in Pune."
CAND_0015057,71,0.301257,"Partial match: ML Engineer at Meesho (4.6 yrs), hands-on Semantic Search and Embeddings. Notice period is 90 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0046132,72,0.299091,"Partial match: AI Research Engineer at Verloop.io (4.3 yrs), hands-on MLOps and Information Retrieval. 4.3 yrs experience is below the 5-9 band. Weaker than the leading profiles, though the fundamentals are there."
CAND_0098217,73,0.292407,"ML Engineer at Glance, 6.4 yrs — adjacent fit with hands-on Pinecone and PEFT. A stretch versus the top of the list, but worth a recruiter look."
CAND_0014440,74,0.292368,"Recommendation Systems Engineer at CRED, 6.4 yrs — adjacent fit with hands-on Qdrant and Milvus. Kept in the shortlist on overall signal despite the gaps."
CAND_0085851,75,0.288027,"ML Engineer at Genpact AI, 7.0 yrs — adjacent fit with hands-on Qdrant and Kubeflow. A stretch versus the top of the list, but worth a recruiter look."
CAND_0097176,76,0.285181,"Partial match: ML Engineer at TCS (5.9 yrs), hands-on PyTorch and FAISS. Likely below the hiring bar, included for pipeline breadth."
CAND_0066690,77,0.276168,"ML Engineer at Freshworks, 4.8 yrs — adjacent fit with hands-on Hugging Face Transformers and TensorFlow. 4.8 yrs experience is below the 5-9 band. A stretch versus the top of the list, but worth a recruiter look."
CAND_0051292,78,0.272878,"Applied ML Engineer at Freshworks, 5.2 yrs — adjacent fit with hands-on Vector Search and RAG. Based in Trivandrum, outside preferred Pune/Noida. A stretch versus the top of the list, but worth a recruiter look."
CAND_0001707,79,0.269005,"Data Scientist at Vedantu, 5.6 yrs — adjacent fit with hands-on Weaviate and Sentence Transformers. Notice period is 90 days (JD prefers under 30). A stretch versus the top of the list, but worth a recruiter look."
CAND_0065430,80,0.259500,"Partial match: ML Engineer at Mad Street Den (4.4 yrs), hands-on Milvus and Semantic Search. 4.4 yrs experience is below the 5-9 band. Likely below the hiring bar, included for pipeline breadth."
CAND_0004972,81,0.257908,"Partial match: ML Engineer at Glance (6.0 yrs), hands-on Sentence Transformers and Semantic Search. Notice period is 90 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0005509,82,0.257773,"Data Scientist at Ola, 6.0 yrs — adjacent fit with hands-on Qdrant and Fine-tuning LLMs. A stretch versus the top of the list, but worth a recruiter look."
CAND_0057529,83,0.243141,"Partial match: Junior ML Engineer at Glance (6.9 yrs), hands-on NLP and MLOps. Weaker than the leading profiles, though the fundamentals are there."
CAND_0011432,84,0.242574,"Senior Data Scientist at Amazon, 7.6 yrs — adjacent fit with hands-on QLoRA and OpenSearch. A stretch versus the top of the list, but worth a recruiter look."
CAND_0053527,85,0.241257,"Partial match: Junior ML Engineer at PhonePe (7.0 yrs), hands-on Qdrant and QLoRA. Notice period is 90 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0082086,86,0.240403,"Partial match: Senior Software Engineer (ML) at Razorpay (6.0 yrs), hands-on Pinecone and FAISS. Weaker than the leading profiles, though the fundamentals are there."
CAND_0080344,87,0.236655,"Senior Software Engineer (ML) at Zoho, 4.9 yrs — adjacent fit with hands-on Sentence Transformers and PyTorch. Notice period is 90 days (JD prefers under 30). A stretch versus the top of the list, but worth a recruiter look."
CAND_0052682,88,0.234136,"NLP Engineer at Aganitha, 6.6 yrs — adjacent fit with hands-on FAISS and Semantic Search. Based in Vizag, outside preferred Pune/Noida. A stretch versus the top of the list, but worth a recruiter look."
CAND_0076251,89,0.232759,"Search Engineer at Haptik, 7.6 yrs — adjacent fit with hands-on Learning to Rank and Hugging Face Transformers. Based in Bhubaneswar, outside preferred Pune/Noida. Kept in the shortlist on overall signal despite the gaps."
CAND_0007412,90,0.230385,"Partial match: Applied ML Engineer at Zoho (7.4 yrs), hands-on Pinecone and BM25. Notice period is 120 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0081053,91,0.224485,"NLP Engineer at Glance, 5.4 yrs — adjacent fit with hands-on Weaviate and Learning to Rank. Notice period is 90 days (JD prefers under 30). Kept in the shortlist on overall signal despite the gaps."
CAND_0091745,92,0.224231,"Partial match: Junior ML Engineer at Locobuzz (5.9 yrs), hands-on Hugging Face Transformers and PyTorch. Likely below the hiring bar, included for pipeline breadth."
CAND_0074098,93,0.223231,"Partial match: Data Scientist at Observe.AI (4.9 yrs), hands-on LoRA and Fine-tuning LLMs. 4.9 yrs experience is below the 5-9 band. Weaker than the leading profiles, though the fundamentals are there."
CAND_0088025,94,0.221382,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs — adjacent fit with hands-on Learning to Rank and BM25. Notice period is 90 days (JD prefers under 30). A stretch versus the top of the list, but worth a recruiter look."
CAND_0043312,95,0.220525,"AI Research Engineer at Haptik, 4.2 yrs — adjacent fit with hands-on Qdrant and RAG. 4.2 yrs experience is below the 5-9 band. Kept in the shortlist on overall signal despite the gaps."
CAND_0026855,96,0.217576,"Partial match: Junior ML Engineer at Niramai (5.6 yrs), hands-on Sentence Transformers and Python. Notice period is 90 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0053605,97,0.209361,"Senior Software Engineer (ML) at Verloop.io, 6.9 yrs — adjacent fit with hands-on Semantic Search and RAG. A stretch versus the top of the list, but worth a recruiter look."
CAND_0014858,98,0.204412,"Partial match: AI Research Engineer at Aganitha (4.9 yrs), hands-on Vector Search and Sentence Transformers. Notice period is 90 days (JD prefers under 30). Likely below the hiring bar, included for pipeline breadth."
CAND_0049896,99,0.201416,"Partial match: Search Engineer at Unacademy (7.3 yrs), hands-on Information Retrieval and NLP. Notice period is 90 days (JD prefers under 30). Weaker than the leading profiles, though the fundamentals are there."
CAND_0073314,100,0.200000,"Partial match: Senior Software Engineer (ML) at Aganitha (5.2 yrs), hands-on PEFT and Weaviate. Likely below the hiring bar, included for pipeline breadth."
